OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
1;3383183;7548700;Kittilä;3356;19610101;1961;1;1;3385000;7545000;-7.1;-6.3;-9.5;0;24;-999;0;0;;
1;3383183;7548700;Kittilä;3356;19610102;1961;1;2;3385000;7545000;-7.7;-6.6;-8.3;4;38;3.23;0;4;;
1;3383183;7548700;Kittilä;3356;19610103;1961;1;3;3385000;7545000;-7;-6.5;-9.9;1;17;3.16;0;5;;
1;3383183;7548700;Kittilä;3356;19610104;1961;1;4;3385000;7545000;-5;-2.7;-8.5;1;9;3.98;0;6;;
1;3383183;7548700;Kittilä;3356;19610105;1961;1;5;3385000;7545000;-6.9;-5.5;-6.7;1;19;3.68;0;7;;
1;3383183;7548700;Kittilä;3356;19610106;1961;1;6;3385000;7545000;-13.2;-5.8;-15;0;34;2.44;0;7;;
1;3383183;7548700;Kittilä;3356;19610107;1961;1;7;3385000;7545000;-24.8;-14.6;-29.9;0;7;0.77;0;7;;
1;3383183;7548700;Kittilä;3356;19610108;1961;1;8;3385000;7545000;-26.1;-26.2;-30;0;15;0.5;0;7;;
1;3383183;7548700;Kittilä;3356;19610109;1961;1;9;3385000;7545000;-18.2;-13;-27.5;0;15;0.91;0;7;;
1;3383183;7548700;Kittilä;3356;19610110;1961;1;10;3385000;7545000;-15.5;-13.2;-17.8;0;28;1.21;0;7;;
1;3383183;7548700;Kittilä;3356;19610111;1961;1;11;3385000;7545000;-13.4;-11.1;-17.7;0;3;1.41;0;7;;
1;3383183;7548700;Kittilä;3356;19610112;1961;1;12;3385000;7545000;-13.2;-11.4;-14.7;1;33;2.12;0;8;;
1;3383183;7548700;Kittilä;3356;19610113;1961;1;13;3385000;7545000;-13.9;-13.3;-15.9;3;13;1.44;0;11;;
1;3383183;7548700;Kittilä;3356;19610114;1961;1;14;3385000;7545000;-12.9;-11.2;-15.1;0;0;1.92;0;11;;
1;3383183;7548700;Kittilä;3356;19610115;1961;1;15;3385000;7545000;-15.5;-12;-22.1;0;0;1.57;0;11;;
1;3383183;7548700;Kittilä;3356;19610116;1961;1;16;3385000;7545000;-16.4;-10.7;-27.9;0;54;0.92;0;11;;
1;3383183;7548700;Kittilä;3356;19610117;1961;1;17;3385000;7545000;-8.2;-7.1;-11.2;0;54;2.53;0;11;;
1;3383183;7548700;Kittilä;3356;19610118;1961;1;18;3385000;7545000;-6.8;-5.1;-9.8;0;14;2.27;0;11;;
1;3383183;7548700;Kittilä;3356;19610119;1961;1;19;3385000;7545000;-6.9;-4.5;-10.1;0;82;2.75;0;11;;
1;3383183;7548700;Kittilä;3356;19610120;1961;1;20;3385000;7545000;-8.4;-6.7;-10.1;0;98;3.02;0;11;;
1;3383183;7548700;Kittilä;3356;19610121;1961;1;21;3385000;7545000;-10.5;-8.5;-11.4;0;165;2.4;0;11;;
1;3383183;7548700;Kittilä;3356;19610122;1961;1;22;3385000;7545000;-9.6;-3.9;-14.9;1;241;1.57;0;12;;
1;3383183;7548700;Kittilä;3356;19610123;1961;1;23;3385000;7545000;-8.6;-3.9;-12.7;0;70;2.93;0;12;;
1;3383183;7548700;Kittilä;3356;19610124;1961;1;24;3385000;7545000;-11.7;-10.8;-14.5;0;206;1.62;0;12;;
1;3383183;7548700;Kittilä;3356;19610125;1961;1;25;3385000;7545000;-8.2;-4.1;-15.1;0;360;1.53;0;12;;
1;3383183;7548700;Kittilä;3356;19610126;1961;1;26;3385000;7545000;-9.3;-6.3;-11.9;0;242;1.22;0;12;;
1;3383183;7548700;Kittilä;3356;19610127;1961;1;27;3385000;7545000;-12.1;-9.5;-14.2;0;181;1.91;0;12;;
1;3383183;7548700;Kittilä;3356;19610128;1961;1;28;3385000;7545000;-10.7;-8.7;-13.1;6;302;2.4;0;18;;
1;3383183;7548700;Kittilä;3356;19610129;1961;1;29;3385000;7545000;-12;-8.4;-18.2;0;401;2.46;0;18;;
1;3383183;7548700;Kittilä;3356;19610130;1961;1;30;3385000;7545000;-13;-12;-17.2;3;394;1.76;0;21;;
1;3383183;7548700;Kittilä;3356;19610131;1961;1;31;3385000;7545000;-13.7;-11.9;-17.1;0;534;1.87;0;21;;
1;3383183;7548700;Kittilä;3356;19610201;1961;2;1;3385000;7545000;-16;-13.6;-17.6;0;416;1.61;0;21;;
1;3383183;7548700;Kittilä;3356;19610202;1961;2;2;3385000;7545000;-15.7;-15.1;-22.2;0;587;1.07;0;21;;
1;3383183;7548700;Kittilä;3356;19610203;1961;2;3;3385000;7545000;-16.9;-11.3;-24.8;0;706;0.69;0;21;;
1;3383183;7548700;Kittilä;3356;19610204;1961;2;4;3385000;7545000;-21.1;-16.6;-22.6;0;986;0.68;0;21;;
1;3383183;7548700;Kittilä;3356;19610205;1961;2;5;3385000;7545000;-25.8;-19.9;-28.9;0;1032;0.58;0;21;;
1;3383183;7548700;Kittilä;3356;19610206;1961;2;6;3385000;7545000;-26.2;-24.9;-34.7;3;832;0.29;0;24;;
1;3383183;7548700;Kittilä;3356;19610207;1961;2;7;3385000;7545000;-15;-9.5;-28.2;9;675;2.17;0;33;;
1;3383183;7548700;Kittilä;3356;19610208;1961;2;8;3385000;7545000;-9;-3.4;-10.4;0;830;3.03;0;33;;
1;3383183;7548700;Kittilä;3356;19610209;1961;2;9;3385000;7545000;-11.7;-6.9;-19.1;0;1300;1.29;0;33;;
1;3383183;7548700;Kittilä;3356;19610210;1961;2;10;3385000;7545000;-11.6;-8.8;-21.7;1;656;2.45;0;34;;
1;3383183;7548700;Kittilä;3356;19610211;1961;2;11;3385000;7545000;-9.7;-8.1;-11.6;0;831;2.78;0;34;;
1;3383183;7548700;Kittilä;3356;19610212;1961;2;12;3385000;7545000;-9.8;-8;-13.1;0;1332;2.3;0;34;;
1;3383183;7548700;Kittilä;3356;19610213;1961;2;13;3385000;7545000;-7.8;-4.4;-11.9;0;1620;1.81;0;34;;
1;3383183;7548700;Kittilä;3356;19610214;1961;2;14;3385000;7545000;-3.3;0.1;-6.5;0;1029;4.79;0;34;;
1;3383183;7548700;Kittilä;3356;19610215;1961;2;15;3385000;7545000;-6.9;0.1;-10.4;0;1886;3.1;0;34;;
1;3383183;7548700;Kittilä;3356;19610216;1961;2;16;3385000;7545000;-8.4;-3.6;-10.7;0;1030;3.18;0;34;;
1;3383183;7548700;Kittilä;3356;19610217;1961;2;17;3385000;7545000;-8.6;-3.9;-18.7;2;1379;2.36;0;36;;
1;3383183;7548700;Kittilä;3356;19610218;1961;2;18;3385000;7545000;-9.5;-5.9;-16.8;0;1690;2.59;0;36;;
1;3383183;7548700;Kittilä;3356;19610219;1961;2;19;3385000;7545000;-10.2;-7.3;-19.4;1;1991;0.99;0;37;;
1;3383183;7548700;Kittilä;3356;19610220;1961;2;20;3385000;7545000;-4.2;-1;-8.6;0;1956;4.05;0;37;;
1;3383183;7548700;Kittilä;3356;19610221;1961;2;21;3385000;7545000;-3.6;-1;-6.7;0;1845;3.27;0;37;;
1;3383183;7548700;Kittilä;3356;19610222;1961;2;22;3385000;7545000;-0.3;2.2;-4.7;0;2159;5.04;0;37;;
1;3383183;7548700;Kittilä;3356;19610223;1961;2;23;3385000;7545000;2.1;4.8;-0.2;0;1661;6.31;0;37;;
1;3383183;7548700;Kittilä;3356;19610224;1961;2;24;3385000;7545000;-0.9;4.6;-0.7;0;2167;5.51;0;37;;
1;3383183;7548700;Kittilä;3356;19610225;1961;2;25;3385000;7545000;-4.9;-0.2;-13.1;1;1940;3.57;0;38;;
1;3383183;7548700;Kittilä;3356;19610226;1961;2;26;3385000;7545000;-3.1;-1.5;-6;0;3269;4.4;0;38;;
1;3383183;7548700;Kittilä;3356;19610227;1961;2;27;3385000;7545000;-2.2;-0.9;-4.2;1;1445;5.21;0;39;;
1;3383183;7548700;Kittilä;3356;19610228;1961;2;28;3385000;7545000;-1.5;-0.6;-2.6;0;1100;5.8;0;39;;
1;3383183;7548700;Kittilä;3356;19610301;1961;3;1;3385000;7545000;-2.2;-0.6;-5.2;0;2599;5.57;0;39;;
1;3383183;7548700;Kittilä;3356;19610302;1961;3;2;3385000;7545000;-3.9;-2.7;-5.5;1;1627;4.63;0;40;;
1;3383183;7548700;Kittilä;3356;19610303;1961;3;3;3385000;7545000;-2.9;-1.2;-4.1;0;2169;4.65;0;40;;
1;3383183;7548700;Kittilä;3356;19610304;1961;3;4;3385000;7545000;1;4;-2.3;0;2777;5.49;0;40;;
1;3383183;7548700;Kittilä;3356;19610305;1961;3;5;3385000;7545000;-2;0.4;-5.2;0;5027;4.48;0;40;;
1;3383183;7548700;Kittilä;3356;19610306;1961;3;6;3385000;7545000;-5.4;0.3;-8.7;0;5868;3.13;0;40;;
1;3383183;7548700;Kittilä;3356;19610307;1961;3;7;3385000;7545000;-6.8;-3;-12.9;0;3328;2.63;0;40;;
1;3383183;7548700;Kittilä;3356;19610308;1961;3;8;3385000;7545000;-7.4;-4.9;-11.1;0;4832;2.88;0;40;;
1;3383183;7548700;Kittilä;3356;19610309;1961;3;9;3385000;7545000;-2.8;0.2;-7.2;4;1961;4.23;0;44;;
1;3383183;7548700;Kittilä;3356;19610310;1961;3;10;3385000;7545000;-1.6;1.4;-7.4;1;3803;4.13;0;45;;
1;3383183;7548700;Kittilä;3356;19610311;1961;3;11;3385000;7545000;0;2.2;-4.4;0;3959;4.61;0;45;;
1;3383183;7548700;Kittilä;3356;19610312;1961;3;12;3385000;7545000;-3.8;0.8;-8.5;0;4969;3.31;0;45;;
1;3383183;7548700;Kittilä;3356;19610313;1961;3;13;3385000;7545000;-3.1;0.3;-6.4;0;5088;3.26;0;45;;
1;3383183;7548700;Kittilä;3356;19610314;1961;3;14;3385000;7545000;-11;-4.6;-20.6;1;7553;1.77;0;46;;
1;3383183;7548700;Kittilä;3356;19610315;1961;3;15;3385000;7545000;-6.8;-1.9;-10.8;2;3848;3.31;0;48;;
1;3383183;7548700;Kittilä;3356;19610316;1961;3;16;3385000;7545000;-6.2;-2.9;-10.4;0;4111;2.93;0;48;;
